Staff_ID,Department,Role,Shift,Experience_Years,Monthly_Salary
600062,Administration,Nurse,Night,28,25637.14
600063,Nursing,Manager,Morning,24,92729.37
600064,Administration,Technician,Morning,9,140428.67
600065,Emergency,Technician,Morning,18,60870.54
600066,Emergency,Nurse,Night,20,110630.01
600067,Diagnostics,Nurse,Morning,12,136702.45
600068,Surgery,Coordinator,Evening,12,152565.81
600069,Administration,Coordinator,Evening,4,172838.71
600070,Diagnostics,Technician,Morning,8,141096.44
600071,Nursing,Assistant,Evening,11,95462.63
600072,Nursing,Pharmacist,Evening,20,87371.03
600073,Diagnostics,Manager,Evening,26,94235.22
600074,Administration,Coordinator,Morning,10,175804.29
600075,Administration,Assistant,Evening,5,35907.13
600076,Nursing,Pharmacist,Morning,27,173336.75
600077,Pharmacy,Pharmacist,Night,1,85455.52
600078,Surgery,Pharmacist,Morning,17,162113.56
600079,Surgery,Assistant,Evening,23,85076.36
600080,Pharmacy,Assistant,Night,4,130455.1
600081,Administration,Technician,Evening,24,92423.45
600082,Administration,Technician,Morning,28,119997.08
600083,Pharmacy,Pharmacist,Evening,7,69568.24
600084,Surgery,Pharmacist,Morning,0,150832.29
600085,Surgery,Coordinator,Night,6,139960.82
600086,Nursing,Coordinator,Night,21,102112.83
600087,Emergency,Assistant,Night,8,161787.93
600088,Administration,Manager,Evening,4,87971.59
600089,Surgery,Coordinator,Evening,27,31548.93
600090,Emergency,Nurse,Morning,11,98989.84
600091,Emergency,Technician,Morning,23,31048.28
600092,Emergency,Coordinator,Night,28,125501.44
600093,Nursing,Assistant,Morning,17,45646.84
600094,Administration,Manager,Night,3,147030.06
600095,Surgery,Pharmacist,Evening,16,133771.47
600096,Pharmacy,Technician,Night,6,80404.88
600097,Pharmacy,Manager,Evening,8,160602.06
600098,Pharmacy,Nurse,Morning,25,86712.04
600099,Surgery,Assistant,Night,21,46443.14
600100,Pharmacy,Assistant,Morning,1,98997.19
600101,Diagnostics,Manager,Morning,17,29458.89
600102,Diagnostics,Nurse,Night,17,167379.37
600103,Surgery,Technician,Evening,13,155152.5
600104,Nursing,Manager,Night,18,107726.4
600105,Administration,Nurse,Evening,28,149236.8
600106,Pharmacy,Nurse,Evening,2,84900.41
600107,Surgery,Pharmacist,Evening,28,60645.62
600108,Diagnostics,Pharmacist,Night,28,72484.76
600109,Diagnostics,Nurse,Morning,24,86857.26
600110,Emergency,Technician,Evening,27,109908.21
600111,Administration,Manager,Morning,22,25014.48
600112,Emergency,Technician,Morning,1,99793.18
600113,Pharmacy,Technician,Morning,21,28760.72
600114,Diagnostics,Coordinator,Night,9,116102.1
600115,Pharmacy,Nurse,Morning,10,27113.37
600116,Diagnostics,Technician,Morning,24,69538.66
600117,Nursing,Coordinator,Morning,30,135554.96
600118,Emergency,Assistant,Night,22,174749.22
600119,Administration,Nurse,Morning,27,115267.01
600120,Diagnostics,Technician,Evening,27,31060.46
600121,Diagnostics,Pharmacist,Morning,3,71301.66
600122,Administration,Technician,Evening,14,90862.04
600123,Surgery,Nurse,Night,6,54719.29
600124,Pharmacy,Technician,Night,23,158704.29
600125,Diagnostics,Assistant,Evening,18,88152.08
600126,Nursing,Technician,Night,16,65470.58
600127,Administration,Manager,Evening,10,77392.01
600128,Surgery,Pharmacist,Morning,27,87834.47
600129,Emergency,Technician,Evening,7,47234.51
600130,Surgery,Assistant,Night,26,47666.67
600131,Diagnostics,Assistant,Morning,10,127972.64
600132,Nursing,Pharmacist,Evening,4,117370.81
600133,Nursing,Coordinator,Night,29,177892.1
600134,Diagnostics,Assistant,Night,9,139058.46
600135,Nursing,Manager,Evening,17,134114.89
600136,Diagnostics,Technician,Morning,8,26014.7
600137,Surgery,Technician,Evening,5,135840.58
600138,Administration,Pharmacist,Evening,18,39676.27
600139,Nursing,Manager,Evening,20,136706.84
600140,Diagnostics,Coordinator,Evening,16,171003.35
600141,Diagnostics,Coordinator,Night,2,40043.42
600142,Surgery,Assistant,Night,27,147410.51
600143,Nursing,Manager,Morning,30,25592.6
600144,Nursing,Assistant,Night,26,43584.89
600145,Surgery,Nurse,Night,30,88815.1
600146,Diagnostics,Nurse,Morning,13,125481.62
600147,Pharmacy,Assistant,Night,14,44814.12
600148,Pharmacy,Assistant,Night,25,157037.5
600149,Emergency,Pharmacist,Evening,28,122474.19
600150,Diagnostics,Pharmacist,Evening,19,156353.93
600151,Administration,Pharmacist,Morning,25,51435.17
600152,Pharmacy,Coordinator,Night,27,99156.56
600153,Diagnostics,Technician,Morning,13,112861.82
600154,Administration,Technician,Morning,19,88315.19
600155,Diagnostics,Assistant,Morning,29,109360.5
600156,Administration,Nurse,Morning,5,61388.2
600157,Pharmacy,Coordinator,Night,20,113992.23
600158,Emergency,Nurse,Evening,30,92109.59
600159,Administration,Nurse,Night,5,42650.81
600160,Administration,Pharmacist,Morning,1,100026.78
600161,Emergency,Nurse,Night,22,170258
600162,Surgery,Technician,Evening,4,100562.9
600163,Diagnostics,Technician,Evening,16,152891.74
600164,Surgery,Coordinator,Morning,22,92416.75
600165,Diagnostics,Manager,Evening,5,91740.69
600166,Diagnostics,Technician,Night,23,34516.85
600167,Surgery,Coordinator,Evening,24,118076.71
600168,Nursing,Coordinator,Morning,6,126881.48
600169,Administration,Pharmacist,Evening,26,26876.46
600170,Pharmacy,Coordinator,Night,4,84859.31
600171,Pharmacy,Coordinator,Night,2,26894.45
600172,Diagnostics,Nurse,Night,8,85555.52
600173,Diagnostics,Assistant,Morning,10,161398.89
600174,Administration,Manager,Morning,25,115975.84
600175,Diagnostics,Assistant,Evening,1,80228.73
600176,Surgery,Assistant,Evening,16,64385.32
600177,Diagnostics,Pharmacist,Evening,9,27419.74
600178,Pharmacy,Manager,Evening,13,128456.66
600179,Emergency,Assistant,Night,17,156594.4
600180,Emergency,Nurse,Night,10,151545.06
600181,Nursing,Assistant,Morning,20,135648.12
600182,Surgery,Nurse,Evening,13,106879.41
600183,Nursing,Coordinator,Night,4,167295.89
600184,Pharmacy,Coordinator,Night,0,133317.38
600185,Diagnostics,Nurse,Evening,19,54157.56
600186,Nursing,Pharmacist,Morning,28,75469.29
600187,Surgery,Coordinator,Night,5,119237.02
600188,Administration,Assistant,Morning,7,172589.24
600189,Pharmacy,Nurse,Morning,10,28920.79
600190,Surgery,Technician,Morning,12,55980.87
600191,Surgery,Manager,Evening,26,76964.05
600192,Diagnostics,Assistant,Night,2,55743.02
600193,Diagnostics,Nurse,Night,12,147771.47
600194,Pharmacy,Coordinator,Evening,27,45289.46
600195,Emergency,Assistant,Morning,30,102346.06
600196,Nursing,Coordinator,Evening,6,48409.04
600197,Administration,Coordinator,Morning,5,78560.14
600198,Emergency,Pharmacist,Morning,16,49378.39
600199,Surgery,Pharmacist,Night,18,86762.7
600200,Nursing,Assistant,Morning,15,178205.26
600201,Nursing,Technician,Morning,23,130765.42
600202,Emergency,Pharmacist,Night,5,64842.53
600203,Pharmacy,Technician,Evening,1,177338.71
600204,Nursing,Pharmacist,Night,29,148644.29
600205,Administration,Coordinator,Morning,3,154305.03
600206,Administration,Manager,Night,20,81688.11
600207,Administration,Technician,Morning,22,164773.44
600208,Emergency,Technician,Morning,11,106248.44
600209,Surgery,Pharmacist,Night,16,107510.34
600210,Administration,Technician,Night,5,49871.97
600211,Pharmacy,Assistant,Morning,19,139226.07
600212,Surgery,Coordinator,Morning,8,147409.45
600213,Emergency,Assistant,Morning,13,52467.18
600214,Nursing,Manager,Morning,26,153467.44
600215,Emergency,Manager,Evening,15,154913.87
600216,Emergency,Technician,Morning,8,140559.72
600217,Administration,Pharmacist,Night,19,41232.17
600218,Administration,Coordinator,Evening,22,46569.54
600219,Pharmacy,Manager,Evening,24,112991.54
600220,Pharmacy,Manager,Night,20,42239.82
600221,Administration,Coordinator,Night,7,154659.7
600222,Emergency,Pharmacist,Night,11,145458.95
600223,Surgery,Pharmacist,Evening,23,165089.59
600224,Surgery,Assistant,Evening,6,96937.23
600225,Nursing,Pharmacist,Night,3,28986.98
600226,Diagnostics,Technician,Evening,20,63391.61
600227,Diagnostics,Manager,Morning,13,138807.29
600228,Surgery,Nurse,Night,24,62531.83
600229,Surgery,Manager,Evening,24,64954.49
600230,Nursing,Manager,Morning,7,53534.66
600231,Nursing,Nurse,Night,19,137043.86
600232,Surgery,Manager,Night,27,95746.3
600233,Diagnostics,Pharmacist,Night,15,171449.28
600234,Administration,Assistant,Morning,13,64907.68
600235,Nursing,Pharmacist,Evening,2,178263.89
600236,Nursing,Pharmacist,Morning,3,88405.14
600237,Emergency,Technician,Night,24,145843.93
600238,Nursing,Nurse,Morning,18,26619.63
600239,Administration,Technician,Evening,0,154617.97
600240,Emergency,Manager,Evening,27,28580.53
600241,Nursing,Coordinator,Evening,17,56260.13
600242,Administration,Nurse,Evening,5,147618.6
600243,Nursing,Coordinator,Night,18,125218.5
600244,Pharmacy,Technician,Morning,25,88653.46
600245,Nursing,Nurse,Night,7,152512.85
600246,Surgery,Pharmacist,Morning,19,85038.62
600247,Nursing,Coordinator,Evening,12,58835.08
600248,Administration,Manager,Night,28,151452.2
600249,Surgery,Technician,Night,7,69802.22
600250,Diagnostics,Technician,Evening,17,135618.05
600251,Diagnostics,Assistant,Night,24,46058.03
600252,Pharmacy,Nurse,Evening,30,115251.12
600253,Administration,Manager,Morning,29,94100.55
600254,Administration,Technician,Morning,3,165941.06
600255,Administration,Manager,Night,7,157936.52
600256,Diagnostics,Technician,Evening,28,82843.39
600257,Diagnostics,Manager,Night,1,176745.14
600258,Administration,Technician,Evening,0,65631.67
600259,Administration,Technician,Evening,11,161986.4
600260,Nursing,Nurse,Morning,24,38745.63
600261,Emergency,Nurse,Morning,27,57880.94
600262,Diagnostics,Nurse,Morning,8,60730.99
600263,Nursing,Technician,Night,4,65709.25
600264,Surgery,Pharmacist,Evening,26,132643.18
600265,Nursing,Nurse,Evening,13,74594.12
600266,Diagnostics,Assistant,Night,16,141092.95
600267,Surgery,Technician,Evening,8,111271.41
600268,Pharmacy,Assistant,Night,26,51239.02
600269,Emergency,Nurse,Night,2,49993.86
600270,Nursing,Manager,Evening,23,149746.23
600271,Diagnostics,Nurse,Morning,14,83920.01
600272,Diagnostics,Nurse,Morning,24,114199.29
600273,Administration,Nurse,Night,24,83187.52
600274,Surgery,Pharmacist,Morning,14,48161.9
600275,Surgery,Assistant,Evening,13,177802.26
600276,Nursing,Technician,Evening,11,54217.05
600277,Surgery,Technician,Morning,0,149927.19
600278,Surgery,Assistant,Morning,4,139854.26
600279,Surgery,Pharmacist,Evening,20,49170.98
600280,Nursing,Nurse,Evening,2,133700.44
600281,Emergency,Pharmacist,Night,3,125749.52
600282,Emergency,Nurse,Morning,24,107634.93
600283,Administration,Assistant,Night,13,156087.15
600284,Diagnostics,Nurse,Morning,5,162349.21
600285,Diagnostics,Assistant,Evening,30,55797.15
600286,Emergency,Pharmacist,Evening,6,26650.42
600287,Nursing,Pharmacist,Evening,19,63730.72
600288,Nursing,Nurse,Night,26,77901.74
600289,Emergency,Manager,Morning,25,58365.51
600290,Pharmacy,Nurse,Morning,15,60599.87
600291,Surgery,Pharmacist,Morning,9,46821.24
600292,Diagnostics,Nurse,Evening,16,117980.3
600293,Diagnostics,Manager,Morning,8,53268.93
600294,Surgery,Coordinator,Evening,15,98676.7
600295,Diagnostics,Assistant,Morning,16,65593.13
600296,Diagnostics,Manager,Evening,20,103894.27
600297,Diagnostics,Pharmacist,Morning,8,25885.79
600298,Surgery,Pharmacist,Night,2,109525.86
600299,Emergency,Assistant,Morning,10,146101.15
600300,Diagnostics,Assistant,Night,7,155803.9
600301,Diagnostics,Technician,Evening,9,129905.68
600302,Nursing,Pharmacist,Night,12,96964.88
600303,Surgery,Nurse,Evening,18,55376.12
600304,Diagnostics,Assistant,Morning,14,97187.92
600305,Surgery,Nurse,Evening,22,59083
600306,Nursing,Assistant,Morning,5,126755.73
600307,Administration,Assistant,Evening,0,52906.76
600308,Pharmacy,Assistant,Morning,30,99834.41
600309,Diagnostics,Manager,Night,8,85724.04
600310,Diagnostics,Manager,Night,4,174496.16
600311,Diagnostics,Pharmacist,Morning,8,97330.63
600312,Pharmacy,Technician,Morning,18,155951.97
600313,Administration,Coordinator,Morning,23,59263.4
600314,Diagnostics,Pharmacist,Morning,27,35436.33
600315,Pharmacy,Assistant,Evening,5,37931.74
600316,Diagnostics,Technician,Morning,1,162752.01
600317,Diagnostics,Technician,Night,2,173354.21
600318,Administration,Assistant,Evening,21,171125.27
600319,Diagnostics,Manager,Morning,24,93994.87
600320,Surgery,Manager,Morning,2,140295.68
600321,Surgery,Assistant,Morning,10,83292.27
600322,Nursing,Coordinator,Evening,21,84290.54
600323,Surgery,Nurse,Morning,26,177806.51
600324,Diagnostics,Nurse,Morning,21,164236.91
600325,Administration,Coordinator,Night,24,163729.85
600326,Nursing,Coordinator,Evening,11,170881.61
600327,Administration,Technician,Morning,21,149930.33
600328,Diagnostics,Pharmacist,Night,7,56614.67
600329,Nursing,Nurse,Evening,27,26149.75
600330,Nursing,Coordinator,Morning,26,166288.17
600331,Surgery,Nurse,Morning,1,75205.95
600332,Pharmacy,Technician,Evening,0,145574.35
600333,Administration,Coordinator,Evening,11,117849.74
600334,Emergency,Pharmacist,Evening,1,30846.19
600335,Administration,Assistant,Night,0,179926.99
600336,Administration,Assistant,Morning,7,176422.38
600337,Emergency,Manager,Evening,28,69251.69
600338,Emergency,Pharmacist,Evening,11,119799.86
600339,Nursing,Coordinator,Evening,30,102136.42
600340,Nursing,Technician,Night,6,30970.97
600341,Emergency,Nurse,Morning,2,173136.16
600342,Surgery,Technician,Night,23,68778.15
600343,Pharmacy,Coordinator,Night,10,117304.76
600344,Nursing,Nurse,Morning,30,43806.92
600345,Administration,Coordinator,Morning,8,148980.41
600346,Emergency,Manager,Morning,9,179596.48
600347,Administration,Pharmacist,Night,10,166355.39
600348,Pharmacy,Assistant,Morning,30,101955.25
600349,Emergency,Coordinator,Morning,24,104291.55
600350,Administration,Pharmacist,Evening,30,136958.27
600351,Administration,Technician,Night,6,175208.77
600352,Surgery,Assistant,Morning,24,64816.85
600353,Surgery,Nurse,Night,23,125608.74
600354,Surgery,Nurse,Night,5,111710.66
600355,Administration,Pharmacist,Night,24,101465.08
600356,Pharmacy,Manager,Morning,2,122187.47
600357,Nursing,Technician,Evening,12,82137.55
600358,Pharmacy,Pharmacist,Morning,16,25692.69
600359,Administration,Nurse,Morning,12,89394.96
600360,Administration,Technician,Evening,29,161338.63
600361,Diagnostics,Assistant,Evening,6,57564.95
600362,Diagnostics,Manager,Night,5,76368.23
600363,Diagnostics,Assistant,Night,15,48189.62
600364,Surgery,Nurse,Evening,3,72810.25
600365,Nursing,Nurse,Night,24,119713.27
600366,Diagnostics,Coordinator,Evening,15,84569.23
600367,Diagnostics,Assistant,Morning,23,116529.25
600368,Surgery,Technician,Night,8,116976.75
600369,Diagnostics,Technician,Evening,19,74497.66
600370,Diagnostics,Nurse,Evening,30,98800.86
600371,Pharmacy,Manager,Morning,23,159816.77
600372,Diagnostics,Nurse,Night,15,84235.39
600373,Surgery,Coordinator,Night,20,48103.83
600374,Emergency,Technician,Night,15,140676.17
600375,Administration,Manager,Evening,5,145999
600376,Pharmacy,Technician,Night,12,115918.16
600377,Emergency,Coordinator,Night,29,94195.07
600378,Nursing,Manager,Morning,7,179534.44
600379,Administration,Pharmacist,Night,12,124459.75
600380,Nursing,Assistant,Morning,24,169338.08
600381,Emergency,Coordinator,Evening,13,132844.1
600382,Diagnostics,Nurse,Night,20,27012.39
600383,Administration,Manager,Evening,12,158761.18
600384,Pharmacy,Assistant,Evening,27,72417.82
600385,Emergency,Assistant,Morning,29,47675.8
600386,Pharmacy,Nurse,Evening,16,178060.58
600387,Diagnostics,Assistant,Morning,30,124775.99
600388,Nursing,Nurse,Morning,6,41185.46
600389,Nursing,Manager,Evening,23,63726.46
600390,Pharmacy,Nurse,Morning,8,93444.75
600391,Nursing,Technician,Evening,9,46229.58
600392,Surgery,Pharmacist,Evening,16,48845.78
600393,Emergency,Coordinator,Morning,2,122902.72
600394,Nursing,Technician,Night,30,83999.95
600395,Surgery,Nurse,Night,19,81555.15
600396,Pharmacy,Coordinator,Morning,29,58323.66
600397,Emergency,Coordinator,Evening,15,141738.59
600398,Diagnostics,Coordinator,Night,7,76230.7
600399,Pharmacy,Manager,Morning,19,163180.39
600400,Administration,Coordinator,Morning,16,165059.2
600401,Administration,Coordinator,Night,7,161958.67
600402,Administration,Assistant,Evening,29,46212.08
600403,Administration,Coordinator,Night,17,146780.25
600404,Pharmacy,Coordinator,Night,15,72897.6
600405,Diagnostics,Coordinator,Morning,23,87012.82
600406,Diagnostics,Nurse,Night,12,112904.41
600407,Administration,Assistant,Night,22,105415.58
600408,Pharmacy,Coordinator,Morning,12,87139.99
600409,Surgery,Coordinator,Evening,30,37189.98
600410,Pharmacy,Nurse,Morning,3,75680.8
600411,Surgery,Assistant,Evening,23,131007.42
600412,Administration,Manager,Night,9,135259.32
600413,Administration,Nurse,Night,1,165692.19
600414,Diagnostics,Assistant,Evening,10,107469.3
600415,Administration,Nurse,Evening,19,42836.98
600416,Emergency,Pharmacist,Evening,30,94054.63
600417,Diagnostics,Nurse,Night,30,70659.33
600418,Administration,Technician,Evening,18,70288.97
600419,Pharmacy,Pharmacist,Morning,12,125519.03
600420,Diagnostics,Pharmacist,Evening,28,67063.05
600421,Surgery,Coordinator,Morning,20,138716.8
600422,Administration,Coordinator,Evening,21,57114.25
600423,Surgery,Technician,Night,26,139983.28
600424,Diagnostics,Assistant,Morning,9,83286.39
600425,Administration,Technician,Night,30,41312.92
600426,Nursing,Pharmacist,Night,3,119602.97
600427,Surgery,Nurse,Night,22,29835.23
600428,Administration,Nurse,Night,17,144737.62
600429,Administration,Technician,Morning,19,156507.93
600430,Nursing,Assistant,Morning,22,73812.96
600431,Administration,Technician,Night,18,121014.06
600432,Surgery,Manager,Evening,1,112023.85
600433,Emergency,Coordinator,Morning,9,153149.63
600434,Nursing,Assistant,Night,14,40971.48
600435,Administration,Assistant,Night,23,43285.47
600436,Nursing,Coordinator,Evening,17,107994.9
600437,Surgery,Coordinator,Evening,17,74400.43
600438,Diagnostics,Technician,Night,12,79325.93
600439,Diagnostics,Manager,Evening,4,26497.1
600440,Surgery,Nurse,Morning,25,123133.1
600441,Emergency,Nurse,Night,29,83233.69
600442,Emergency,Manager,Evening,17,141688.72
600443,Nursing,Technician,Morning,23,115655.95
600444,Emergency,Coordinator,Morning,28,52271.67
600445,Administration,Coordinator,Morning,11,49984.25
600446,Surgery,Nurse,Night,17,147325.38
600447,Diagnostics,Nurse,Morning,0,165948.36
600448,Administration,Coordinator,Evening,23,27954.59
600449,Administration,Technician,Morning,15,56225.22
600450,Nursing,Coordinator,Evening,29,137061.68
600451,Diagnostics,Manager,Evening,19,140089.79
600452,Surgery,Manager,Morning,19,67340.32
600453,Emergency,Assistant,Morning,15,61988.31
600454,Diagnostics,Technician,Morning,29,166669.96
600455,Emergency,Coordinator,Morning,16,81036.84
600456,Diagnostics,Manager,Morning,23,44021.52
600457,Administration,Technician,Evening,11,149054.96
600458,Surgery,Technician,Evening,20,147211.25
600459,Nursing,Technician,Evening,16,108750.6
600460,Pharmacy,Manager,Night,28,108142.29
600461,Nursing,Nurse,Evening,7,137353.13
600462,Diagnostics,Nurse,Evening,16,123153.55
600463,Emergency,Manager,Morning,1,157251.84
600464,Nursing,Technician,Night,20,118928.17
600465,Administration,Nurse,Night,26,73060.29
600466,Emergency,Assistant,Morning,21,169859
600467,Nursing,Pharmacist,Morning,0,139778.07
600468,Administration,Pharmacist,Morning,25,100172.23
600469,Pharmacy,Nurse,Evening,18,153131.2
600470,Administration,Assistant,Night,5,43415.45
600471,Emergency,Pharmacist,Evening,30,89418.7
600472,Nursing,Coordinator,Morning,1,96440.1
600473,Pharmacy,Coordinator,Night,25,157298.48
600474,Nursing,Pharmacist,Evening,0,107192.95
600475,Pharmacy,Nurse,Night,29,143071.96
600476,Emergency,Pharmacist,Night,21,60700.55
600477,Diagnostics,Nurse,Night,3,32103.99
600478,Diagnostics,Coordinator,Night,13,56674.93
600479,Administration,Manager,Night,8,148039.83
600480,Surgery,Nurse,Morning,7,175553.9
600481,Diagnostics,Nurse,Evening,6,106036.38
600482,Surgery,Coordinator,Night,23,31950.39
600483,Pharmacy,Technician,Morning,12,157083.87
600484,Pharmacy,Coordinator,Morning,0,128823.73
600485,Emergency,Coordinator,Evening,6,95277.7
600486,Diagnostics,Technician,Evening,25,62352.05
600487,Diagnostics,Manager,Morning,24,167444.34
600488,Pharmacy,Manager,Morning,10,124212.28
600489,Nursing,Coordinator,Evening,12,140215.77
600490,Nursing,Manager,Morning,3,145637.34
600491,Nursing,Manager,Night,11,87231.66
600492,Nursing,Coordinator,Morning,18,111058.63
600493,Emergency,Assistant,Evening,2,89559.03
600494,Diagnostics,Assistant,Evening,11,116283.69
600495,Emergency,Coordinator,Evening,14,30138.8
600496,Surgery,Manager,Morning,16,153733.65
600497,Diagnostics,Pharmacist,Evening,2,122423.86
600498,Surgery,Coordinator,Evening,10,84652.63
600499,Pharmacy,Assistant,Evening,30,140243.09
600500,Administration,Pharmacist,Evening,16,28792.04
600501,Emergency,Nurse,Night,28,125548.18
600502,Nursing,Technician,Evening,3,104486.43
600503,Diagnostics,Assistant,Evening,24,54781.84
600504,Emergency,Technician,Evening,1,173379.68
600505,Emergency,Coordinator,Evening,12,101354.26
600506,Diagnostics,Assistant,Evening,3,70932.55
600507,Emergency,Nurse,Morning,1,105097.2
600508,Emergency,Pharmacist,Night,0,77469.64
600509,Diagnostics,Technician,Morning,23,145598.31
600510,Pharmacy,Pharmacist,Morning,18,82267.32
600511,Diagnostics,Technician,Evening,8,108058.55
600512,Nursing,Nurse,Evening,0,155788.22
600513,Diagnostics,Coordinator,Evening,25,163491.71
600514,Nursing,Coordinator,Evening,5,107821.11
600515,Diagnostics,Coordinator,Night,30,42126.38
600516,Nursing,Manager,Morning,27,141424.92
600517,Diagnostics,Manager,Evening,4,130743.65
600518,Emergency,Nurse,Evening,26,119634.59
600519,Emergency,Pharmacist,Night,26,74690.27
600520,Diagnostics,Manager,Evening,11,97725.08
600521,Administration,Technician,Morning,6,54674.6
600522,Pharmacy,Technician,Night,25,130719.4
600523,Nursing,Pharmacist,Evening,14,125505.37
600524,Pharmacy,Assistant,Night,22,45394.35
600525,Diagnostics,Manager,Morning,29,75384.45
600526,Emergency,Coordinator,Morning,8,84876.63
600527,Nursing,Technician,Morning,8,114458.4
600528,Nursing,Coordinator,Evening,7,173127.74
600529,Administration,Assistant,Night,6,43781.6
600530,Emergency,Coordinator,Evening,7,114714.9
600531,Diagnostics,Coordinator,Morning,12,103918.15
600532,Emergency,Nurse,Evening,16,49302.39
600533,Surgery,Assistant,Night,7,107452.29
600534,Nursing,Assistant,Night,0,53602.46
600535,Nursing,Nurse,Night,26,147762.28
600536,Emergency,Nurse,Night,10,85110.48
600537,Emergency,Nurse,Evening,7,125510.42
600538,Emergency,Manager,Evening,9,151331.26
600539,Pharmacy,Coordinator,Morning,28,125538.76
600540,Pharmacy,Nurse,Evening,25,66873.28
600541,Surgery,Nurse,Morning,26,40448.93
600542,Administration,Manager,Morning,17,130762.03
600543,Emergency,Pharmacist,Evening,15,88793.2
600544,Administration,Technician,Evening,2,56512.27
600545,Emergency,Nurse,Evening,16,87940.51
600546,Surgery,Manager,Night,0,31997.13
600547,Pharmacy,Assistant,Morning,23,56034.7
600548,Nursing,Manager,Evening,16,138164.14
600549,Emergency,Technician,Evening,14,51838.69
600550,Nursing,Pharmacist,Evening,0,59412.57
600551,Emergency,Technician,Night,8,151142.86
600552,Diagnostics,Nurse,Morning,28,141731
600553,Nursing,Coordinator,Evening,27,147590.76
600554,Nursing,Technician,Evening,15,105027.58
600555,Pharmacy,Nurse,Morning,9,126331.83
600556,Emergency,Assistant,Morning,3,178378.68
600557,Administration,Coordinator,Morning,22,144834.15
600558,Emergency,Assistant,Evening,20,119100.63
600559,Emergency,Manager,Morning,1,90312.59
600560,Surgery,Nurse,Morning,19,105880.37
600561,Nursing,Nurse,Evening,22,129780.3
600562,Diagnostics,Technician,Night,25,106934.63
600563,Surgery,Assistant,Night,23,48264.27
600564,Diagnostics,Nurse,Evening,27,77104.09
600565,Pharmacy,Nurse,Evening,27,169881.27
600566,Emergency,Manager,Evening,5,116745.35
600567,Surgery,Technician,Evening,28,52333.06
600568,Diagnostics,Pharmacist,Night,13,88307
600569,Administration,Manager,Evening,3,75104.92
600570,Administration,Coordinator,Night,4,112839.45
600571,Emergency,Manager,Evening,8,146568.47
600572,Nursing,Coordinator,Night,8,47167.81
600573,Emergency,Technician,Evening,8,35190.07
