Doctor_ID,Doctor_Name,Specialty,Department,Experience_Years
110059,Dr_58,General Medicine,Emergency,20
110060,Dr_59,Dermatology,Surgery,12
110061,Dr_60,Oncology,Outpatient,35
110062,Dr_61,Pediatrics,Diagnostics,2
110063,Dr_62,Pediatrics,Outpatient,24
110064,Dr_63,ENT,Diagnostics,29
110065,Dr_64,Oncology,Surgery,17
110066,Dr_65,Pediatrics,Diagnostics,30
110067,Dr_66,Cardiology,Diagnostics,21
110068,Dr_67,Orthopedics,Medicine,7
110069,Dr_68,Dermatology,Surgery,17
110070,Dr_69,Oncology,Surgery,4
110071,Dr_70,Neurology,Diagnostics,16
110072,Dr_71,Neurology,Diagnostics,31
110073,Dr_72,Oncology,Outpatient,20
110074,Dr_73,Oncology,Emergency,33
110075,Dr_74,Pediatrics,Medicine,6
110076,Dr_75,Neurology,Surgery,22
110077,Dr_76,Oncology,Surgery,31
110078,Dr_77,General Medicine,Diagnostics,34
110079,Dr_78,Orthopedics,Surgery,14
110080,Dr_79,ENT,Diagnostics,6
110081,Dr_80,Neurology,Diagnostics,9
110082,Dr_81,Oncology,Medicine,28
110083,Dr_82,Oncology,Surgery,5
110084,Dr_83,Cardiology,Outpatient,27
110085,Dr_84,Dermatology,Outpatient,29
110086,Dr_85,Cardiology,Diagnostics,25
110087,Dr_86,Neurology,Outpatient,16
110088,Dr_87,Neurology,Medicine,10
110089,Dr_88,ENT,Emergency,24
110090,Dr_89,Dermatology,Diagnostics,32
110091,Dr_90,Pediatrics,Diagnostics,25
110092,Dr_91,General Medicine,Emergency,32
110093,Dr_92,ENT,Surgery,22
110094,Dr_93,Pediatrics,Outpatient,23
110095,Dr_94,Oncology,Medicine,13
110096,Dr_95,Dermatology,Surgery,27
110097,Dr_96,Dermatology,Outpatient,10
110098,Dr_97,Dermatology,Surgery,14
110099,Dr_98,Oncology,Diagnostics,14
110100,Dr_99,Dermatology,Diagnostics,20
110101,Dr_100,Neurology,Outpatient,8
110102,Dr_101,Neurology,Diagnostics,11
110103,Dr_102,ENT,Outpatient,4
110104,Dr_103,Cardiology,Medicine,1
110105,Dr_104,Cardiology,Emergency,16
110106,Dr_105,Neurology,Surgery,12
110107,Dr_106,Dermatology,Emergency,26
110108,Dr_107,Dermatology,Outpatient,35
110109,Dr_108,General Medicine,Surgery,35
110110,Dr_109,Pediatrics,Surgery,5
110111,Dr_110,Orthopedics,Emergency,30
110112,Dr_111,Dermatology,Emergency,11
110113,Dr_112,ENT,Diagnostics,2
110114,Dr_113,Oncology,Diagnostics,35
110115,Dr_114,ENT,Emergency,2
110116,Dr_115,Pediatrics,Diagnostics,30
110117,Dr_116,Neurology,Outpatient,8
110118,Dr_117,ENT,Emergency,35
110119,Dr_118,ENT,Surgery,2
110120,Dr_119,Cardiology,Diagnostics,7
110121,Dr_120,Orthopedics,Surgery,3
110122,Dr_121,Orthopedics,Medicine,12
110123,Dr_122,Oncology,Outpatient,31
110124,Dr_123,General Medicine,Medicine,1
110125,Dr_124,General Medicine,Diagnostics,1
110126,Dr_125,Neurology,Medicine,2
110127,Dr_126,Oncology,Diagnostics,34
110128,Dr_127,Dermatology,Surgery,22
110129,Dr_128,Orthopedics,Outpatient,1
110130,Dr_129,Pediatrics,Medicine,1
110131,Dr_130,Oncology,Emergency,29
110132,Dr_131,Oncology,Diagnostics,10
110133,Dr_132,General Medicine,Outpatient,28
110134,Dr_133,Orthopedics,Medicine,6
110135,Dr_134,General Medicine,Medicine,10
110136,Dr_135,Orthopedics,Medicine,17
110137,Dr_136,Orthopedics,Diagnostics,3
110138,Dr_137,General Medicine,Emergency,25
110139,Dr_138,Pediatrics,Diagnostics,8
110140,Dr_139,Orthopedics,Diagnostics,4
110141,Dr_140,Orthopedics,Medicine,13
110142,Dr_141,Cardiology,Surgery,31
110143,Dr_142,General Medicine,Outpatient,4
110144,Dr_143,ENT,Medicine,31
110145,Dr_144,Pediatrics,Emergency,13
110146,Dr_145,General Medicine,Emergency,21
110147,Dr_146,ENT,Surgery,16
110148,Dr_147,ENT,Surgery,23
110149,Dr_148,Oncology,Medicine,24
110150,Dr_149,Dermatology,Medicine,6
110151,Dr_150,ENT,Medicine,26
110152,Dr_151,Pediatrics,Outpatient,18
110153,Dr_152,Orthopedics,Diagnostics,24
110154,Dr_153,ENT,Medicine,10
110155,Dr_154,Dermatology,Diagnostics,34
110156,Dr_155,Oncology,Surgery,24
110157,Dr_156,General Medicine,Diagnostics,29
110158,Dr_157,General Medicine,Diagnostics,33
110159,Dr_158,Oncology,Outpatient,12
110160,Dr_159,Pediatrics,Diagnostics,5
110161,Dr_160,Cardiology,Surgery,24
110162,Dr_161,ENT,Outpatient,6
110163,Dr_162,Orthopedics,Medicine,13
110164,Dr_163,Oncology,Surgery,17
110165,Dr_164,Oncology,Emergency,16
110166,Dr_165,Oncology,Emergency,19
110167,Dr_166,Neurology,Surgery,20
110168,Dr_167,Oncology,Emergency,16
110169,Dr_168,Neurology,Outpatient,23
110170,Dr_169,Orthopedics,Surgery,1
110171,Dr_170,General Medicine,Surgery,17
110172,Dr_171,Pediatrics,Emergency,32
110173,Dr_172,Pediatrics,Diagnostics,1
110174,Dr_173,General Medicine,Diagnostics,3
110175,Dr_174,Neurology,Medicine,26
110176,Dr_175,ENT,Diagnostics,13
110177,Dr_176,Oncology,Surgery,2
110178,Dr_177,General Medicine,Emergency,26
110179,Dr_178,Orthopedics,Surgery,11
110180,Dr_179,Orthopedics,Outpatient,15
110181,Dr_180,Dermatology,Medicine,3
110182,Dr_181,Cardiology,Surgery,5
110183,Dr_182,Oncology,Emergency,5
110184,Dr_183,General Medicine,Outpatient,8
110185,Dr_184,Neurology,Medicine,2
110186,Dr_185,Pediatrics,Emergency,22
110187,Dr_186,Oncology,Medicine,8
110188,Dr_187,Neurology,Emergency,24
110189,Dr_188,ENT,Medicine,9
110190,Dr_189,ENT,Emergency,14
110191,Dr_190,Orthopedics,Surgery,27
110192,Dr_191,Cardiology,Medicine,24
110193,Dr_192,General Medicine,Emergency,7
110194,Dr_193,ENT,Medicine,22
110195,Dr_194,Cardiology,Outpatient,23
110196,Dr_195,Orthopedics,Emergency,33
110197,Dr_196,Neurology,Diagnostics,6
110198,Dr_197,Oncology,Outpatient,15
110199,Dr_198,Neurology,Outpatient,3
110200,Dr_199,Cardiology,Diagnostics,28
110201,Dr_200,Cardiology,Outpatient,8
110202,Dr_201,Pediatrics,Surgery,34
110203,Dr_202,Oncology,Surgery,28
110204,Dr_203,General Medicine,Medicine,14
110205,Dr_204,Neurology,Emergency,4
110206,Dr_205,Oncology,Emergency,7
110207,Dr_206,Neurology,Emergency,5
110208,Dr_207,Orthopedics,Medicine,27
110209,Dr_208,Cardiology,Emergency,25
110210,Dr_209,Cardiology,Outpatient,27
110211,Dr_210,General Medicine,Surgery,10
110212,Dr_211,Dermatology,Emergency,32
110213,Dr_212,Cardiology,Outpatient,16
110214,Dr_213,General Medicine,Emergency,28
110215,Dr_214,Cardiology,Outpatient,12
110216,Dr_215,Neurology,Outpatient,16
110217,Dr_216,Oncology,Surgery,4
110218,Dr_217,Orthopedics,Diagnostics,5
110219,Dr_218,Pediatrics,Medicine,5
110220,Dr_219,Cardiology,Diagnostics,9
110221,Dr_220,ENT,Emergency,3
110222,Dr_221,ENT,Diagnostics,8
110223,Dr_222,Oncology,Medicine,28
110224,Dr_223,Dermatology,Outpatient,7
110225,Dr_224,Dermatology,Diagnostics,10
110226,Dr_225,Dermatology,Medicine,35
110227,Dr_226,Pediatrics,Diagnostics,14
110228,Dr_227,Oncology,Medicine,28
110229,Dr_228,General Medicine,Medicine,16
110230,Dr_229,ENT,Medicine,29
110231,Dr_230,Oncology,Surgery,20
110232,Dr_231,Cardiology,Surgery,15
110233,Dr_232,Oncology,Surgery,16
110234,Dr_233,Dermatology,Outpatient,30
110235,Dr_234,Neurology,Emergency,23
110236,Dr_235,ENT,Surgery,27
110237,Dr_236,General Medicine,Diagnostics,23
110238,Dr_237,Dermatology,Outpatient,27
110239,Dr_238,General Medicine,Emergency,20
110240,Dr_239,Cardiology,Diagnostics,25
110241,Dr_240,ENT,Outpatient,12
110242,Dr_241,ENT,Outpatient,31
110243,Dr_242,Orthopedics,Medicine,7
110244,Dr_243,Neurology,Medicine,19
110245,Dr_244,General Medicine,Emergency,34
110246,Dr_245,Cardiology,Diagnostics,1
110247,Dr_246,Neurology,Medicine,7
110248,Dr_247,ENT,Diagnostics,17
110249,Dr_248,Cardiology,Diagnostics,6
110250,Dr_249,Pediatrics,Outpatient,14
110251,Dr_250,General Medicine,Outpatient,6
110252,Dr_251,Oncology,Outpatient,6
110253,Dr_252,Cardiology,Emergency,12
110254,Dr_253,General Medicine,Outpatient,2
110255,Dr_254,Pediatrics,Emergency,19
110256,Dr_255,Cardiology,Diagnostics,15
110257,Dr_256,Pediatrics,Outpatient,34
110258,Dr_257,Neurology,Diagnostics,13
110259,Dr_258,General Medicine,Diagnostics,23
110260,Dr_259,General Medicine,Diagnostics,35
110261,Dr_260,General Medicine,Medicine,4
110262,Dr_261,Pediatrics,Emergency,27
110263,Dr_262,Neurology,Emergency,14
110264,Dr_263,Dermatology,Outpatient,2
110265,Dr_264,Pediatrics,Outpatient,6
110266,Dr_265,Orthopedics,Outpatient,4
110267,Dr_266,Oncology,Surgery,16
110268,Dr_267,Oncology,Emergency,4
110269,Dr_268,Pediatrics,Medicine,5
110270,Dr_269,Cardiology,Outpatient,1
110271,Dr_270,Oncology,Emergency,14
110272,Dr_271,Pediatrics,Diagnostics,26
110273,Dr_272,Cardiology,Medicine,3
110274,Dr_273,ENT,Diagnostics,7
110275,Dr_274,General Medicine,Outpatient,24
110276,Dr_275,ENT,Surgery,20
110277,Dr_276,Orthopedics,Surgery,9
110278,Dr_277,Dermatology,Diagnostics,14
110279,Dr_278,General Medicine,Emergency,11
110280,Dr_279,Cardiology,Emergency,24
110281,Dr_280,Orthopedics,Emergency,6
110282,Dr_281,Cardiology,Medicine,4
110283,Dr_282,Oncology,Medicine,31
110284,Dr_283,Orthopedics,Diagnostics,15
110285,Dr_284,Orthopedics,Diagnostics,16
110286,Dr_285,Cardiology,Diagnostics,34
110287,Dr_286,Oncology,Outpatient,8
110288,Dr_287,Orthopedics,Surgery,2
110289,Dr_288,Neurology,Diagnostics,11
110290,Dr_289,Dermatology,Emergency,13
110291,Dr_290,Oncology,Surgery,20
110292,Dr_291,Dermatology,Diagnostics,25
110293,Dr_292,Neurology,Surgery,33
110294,Dr_293,Dermatology,Surgery,27
110295,Dr_294,General Medicine,Diagnostics,8
110296,Dr_295,ENT,Outpatient,7
110297,Dr_296,Oncology,Outpatient,22
110298,Dr_297,General Medicine,Surgery,18
110299,Dr_298,Pediatrics,Surgery,13
110300,Dr_299,Dermatology,Emergency,24
110301,Dr_300,General Medicine,Outpatient,22
110302,Dr_301,Neurology,Emergency,20
110303,Dr_302,Dermatology,Emergency,25
110304,Dr_303,ENT,Outpatient,9
110305,Dr_304,Orthopedics,Outpatient,1
110306,Dr_305,ENT,Outpatient,18
110307,Dr_306,Pediatrics,Medicine,9
110308,Dr_307,Orthopedics,Surgery,23
110309,Dr_308,Oncology,Emergency,33
110310,Dr_309,Neurology,Outpatient,17
110311,Dr_310,Orthopedics,Medicine,2
110312,Dr_311,Oncology,Surgery,11
110313,Dr_312,Neurology,Emergency,13
110314,Dr_313,General Medicine,Outpatient,20
110315,Dr_314,Pediatrics,Diagnostics,23
110316,Dr_315,Cardiology,Diagnostics,31
110317,Dr_316,Neurology,Surgery,15
110318,Dr_317,Dermatology,Outpatient,3
110319,Dr_318,ENT,Emergency,14
110320,Dr_319,Orthopedics,Medicine,30
110321,Dr_320,ENT,Surgery,2
110322,Dr_321,Oncology,Surgery,5
110323,Dr_322,Orthopedics,Medicine,18
110324,Dr_323,Oncology,Diagnostics,9
110325,Dr_324,Dermatology,Outpatient,17
110326,Dr_325,Orthopedics,Medicine,17
110327,Dr_326,Oncology,Medicine,9
110328,Dr_327,Oncology,Diagnostics,21
110329,Dr_328,Dermatology,Diagnostics,22
110330,Dr_329,Oncology,Surgery,2
110331,Dr_330,Neurology,Surgery,5
110332,Dr_331,General Medicine,Outpatient,20
110333,Dr_332,Dermatology,Surgery,4
110334,Dr_333,Neurology,Outpatient,23
110335,Dr_334,ENT,Medicine,33
110336,Dr_335,General Medicine,Medicine,17
110337,Dr_336,ENT,Diagnostics,32
110338,Dr_337,Orthopedics,Diagnostics,28
110339,Dr_338,Cardiology,Medicine,27
110340,Dr_339,Cardiology,Outpatient,14
110341,Dr_340,ENT,Emergency,24
110342,Dr_341,Pediatrics,Surgery,26
110343,Dr_342,Orthopedics,Emergency,4
110344,Dr_343,Orthopedics,Medicine,19
110345,Dr_344,Oncology,Emergency,29
110346,Dr_345,Cardiology,Emergency,4
110347,Dr_346,Oncology,Medicine,2
110348,Dr_347,Orthopedics,Outpatient,9
110349,Dr_348,General Medicine,Diagnostics,16
110350,Dr_349,Neurology,Medicine,20
110351,Dr_350,Cardiology,Outpatient,32
110352,Dr_351,ENT,Medicine,21
110353,Dr_352,Oncology,Diagnostics,19
110354,Dr_353,ENT,Diagnostics,27
110355,Dr_354,Cardiology,Emergency,10
110356,Dr_355,Oncology,Diagnostics,18
110357,Dr_356,Pediatrics,Outpatient,1
110358,Dr_357,Neurology,Diagnostics,5
110359,Dr_358,Orthopedics,Outpatient,5
110360,Dr_359,Oncology,Outpatient,25
110361,Dr_360,Neurology,Surgery,7
110362,Dr_361,Pediatrics,Outpatient,25
110363,Dr_362,Neurology,Emergency,31
110364,Dr_363,ENT,Surgery,33
110365,Dr_364,Dermatology,Outpatient,14
110366,Dr_365,Oncology,Diagnostics,4
110367,Dr_366,Orthopedics,Diagnostics,32
110368,Dr_367,Oncology,Emergency,19
110369,Dr_368,Cardiology,Surgery,26
110370,Dr_369,Cardiology,Outpatient,4
110371,Dr_370,General Medicine,Outpatient,14
110372,Dr_371,General Medicine,Diagnostics,31
110373,Dr_372,Pediatrics,Emergency,5
110374,Dr_373,Orthopedics,Emergency,7
110375,Dr_374,Pediatrics,Medicine,9
110376,Dr_375,ENT,Surgery,17
110377,Dr_376,General Medicine,Emergency,28
110378,Dr_377,Dermatology,Diagnostics,16
110379,Dr_378,Cardiology,Outpatient,2
110380,Dr_379,Oncology,Emergency,9
110381,Dr_380,General Medicine,Medicine,25
110382,Dr_381,Orthopedics,Surgery,16
110383,Dr_382,ENT,Surgery,20
110384,Dr_383,Neurology,Emergency,15
110385,Dr_384,Neurology,Medicine,3
110386,Dr_385,Cardiology,Medicine,22
110387,Dr_386,Dermatology,Outpatient,5
110388,Dr_387,Orthopedics,Medicine,5
110389,Dr_388,Pediatrics,Diagnostics,28
110390,Dr_389,Cardiology,Medicine,18
110391,Dr_390,General Medicine,Diagnostics,14
110392,Dr_391,General Medicine,Outpatient,13
110393,Dr_392,Neurology,Outpatient,13
110394,Dr_393,General Medicine,Diagnostics,24
110395,Dr_394,ENT,Diagnostics,20
110396,Dr_395,Pediatrics,Outpatient,31
110397,Dr_396,Oncology,Surgery,10
110398,Dr_397,Pediatrics,Emergency,4
110399,Dr_398,Neurology,Surgery,19
110400,Dr_399,Pediatrics,Emergency,26
110401,Dr_400,Neurology,Emergency,1
110402,Dr_401,Neurology,Outpatient,3
110403,Dr_402,Dermatology,Outpatient,11
110404,Dr_403,Neurology,Medicine,11
110405,Dr_404,General Medicine,Outpatient,15
110406,Dr_405,Oncology,Outpatient,17
110407,Dr_406,General Medicine,Diagnostics,3
110408,Dr_407,Pediatrics,Outpatient,12
110409,Dr_408,General Medicine,Emergency,34
110410,Dr_409,General Medicine,Emergency,33
110411,Dr_410,Pediatrics,Medicine,4
110412,Dr_411,Cardiology,Emergency,14
110413,Dr_412,Oncology,Medicine,10
110414,Dr_413,ENT,Medicine,6
110415,Dr_414,Dermatology,Medicine,27
110416,Dr_415,ENT,Surgery,25
110417,Dr_416,Dermatology,Medicine,9
110418,Dr_417,Cardiology,Diagnostics,21
110419,Dr_418,Orthopedics,Emergency,4
110420,Dr_419,Oncology,Diagnostics,18
110421,Dr_420,General Medicine,Diagnostics,34
110422,Dr_421,Pediatrics,Diagnostics,16
110423,Dr_422,Neurology,Medicine,33
110424,Dr_423,General Medicine,Surgery,14
110425,Dr_424,Cardiology,Outpatient,17
110426,Dr_425,Oncology,Diagnostics,28
110427,Dr_426,Cardiology,Surgery,27
110428,Dr_427,Orthopedics,Outpatient,7
110429,Dr_428,Oncology,Medicine,27
110430,Dr_429,Cardiology,Medicine,27
110431,Dr_430,Dermatology,Outpatient,27
110432,Dr_431,ENT,Emergency,12
110433,Dr_432,Oncology,Diagnostics,24
110434,Dr_433,Orthopedics,Outpatient,29
110435,Dr_434,ENT,Medicine,2
110436,Dr_435,ENT,Outpatient,19
110437,Dr_436,General Medicine,Medicine,3
110438,Dr_437,Neurology,Medicine,10
110439,Dr_438,Dermatology,Medicine,21
110440,Dr_439,ENT,Diagnostics,32
110441,Dr_440,Orthopedics,Surgery,13
110442,Dr_441,General Medicine,Diagnostics,4
110443,Dr_442,Orthopedics,Surgery,7
110444,Dr_443,Oncology,Diagnostics,23
110445,Dr_444,Dermatology,Diagnostics,18
110446,Dr_445,ENT,Surgery,30
110447,Dr_446,Orthopedics,Medicine,29
110448,Dr_447,Neurology,Medicine,27
110449,Dr_448,Orthopedics,Medicine,29
110450,Dr_449,Cardiology,Diagnostics,6
110451,Dr_450,Oncology,Emergency,22
110452,Dr_451,Cardiology,Diagnostics,22
110453,Dr_452,General Medicine,Diagnostics,11
110454,Dr_453,Neurology,Surgery,9
110455,Dr_454,Cardiology,Surgery,15
110456,Dr_455,Oncology,Medicine,9
110457,Dr_456,General Medicine,Surgery,24
110458,Dr_457,Neurology,Medicine,35
110459,Dr_458,General Medicine,Diagnostics,33
110460,Dr_459,Cardiology,Emergency,25
110461,Dr_460,Orthopedics,Outpatient,31
110462,Dr_461,Orthopedics,Medicine,19
110463,Dr_462,Oncology,Medicine,3
110464,Dr_463,Pediatrics,Emergency,15
110465,Dr_464,Neurology,Surgery,10
110466,Dr_465,ENT,Diagnostics,3
110467,Dr_466,General Medicine,Medicine,28
110468,Dr_467,ENT,Diagnostics,25
110469,Dr_468,Cardiology,Diagnostics,13
110470,Dr_469,Neurology,Medicine,1
110471,Dr_470,Orthopedics,Medicine,6
110472,Dr_471,Cardiology,Outpatient,10
110473,Dr_472,Neurology,Medicine,30
110474,Dr_473,Neurology,Surgery,20
110475,Dr_474,Orthopedics,Diagnostics,31
110476,Dr_475,Oncology,Diagnostics,34
110477,Dr_476,Orthopedics,Diagnostics,12
110478,Dr_477,ENT,Emergency,18
110479,Dr_478,Dermatology,Emergency,3
110480,Dr_479,Cardiology,Emergency,20
110481,Dr_480,Neurology,Surgery,25
110482,Dr_481,General Medicine,Diagnostics,31
110483,Dr_482,Dermatology,Surgery,13
110484,Dr_483,Cardiology,Surgery,2
110485,Dr_484,Orthopedics,Diagnostics,14
110486,Dr_485,Pediatrics,Medicine,6
110487,Dr_486,ENT,Diagnostics,11
110488,Dr_487,Neurology,Medicine,6
110489,Dr_488,Oncology,Emergency,3
110490,Dr_489,ENT,Emergency,31
110491,Dr_490,Dermatology,Emergency,11
110492,Dr_491,General Medicine,Outpatient,28
110493,Dr_492,Neurology,Outpatient,30
110494,Dr_493,Cardiology,Emergency,27
110495,Dr_494,ENT,Emergency,19
110496,Dr_495,Pediatrics,Surgery,5
110497,Dr_496,Oncology,Emergency,31
110498,Dr_497,General Medicine,Outpatient,25
110499,Dr_498,Pediatrics,Diagnostics,25
110500,Dr_499,Neurology,Emergency,11
110501,Dr_500,Cardiology,Surgery,32
110502,Dr_501,Dermatology,Emergency,22
110503,Dr_502,Cardiology,Surgery,27
110504,Dr_503,Cardiology,Surgery,27
110505,Dr_504,Neurology,Emergency,30
110506,Dr_505,Neurology,Emergency,32
110507,Dr_506,General Medicine,Medicine,34
110508,Dr_507,Orthopedics,Emergency,21
110509,Dr_508,Orthopedics,Outpatient,24
110510,Dr_509,Oncology,Surgery,31
110511,Dr_510,ENT,Outpatient,17
110512,Dr_511,Neurology,Medicine,16
110513,Dr_512,Cardiology,Medicine,4
110514,Dr_513,ENT,Emergency,15
110515,Dr_514,Orthopedics,Outpatient,22
110516,Dr_515,Cardiology,Diagnostics,11
110517,Dr_516,ENT,Surgery,1
110518,Dr_517,Neurology,Diagnostics,30
110519,Dr_518,ENT,Emergency,20
110520,Dr_519,Orthopedics,Diagnostics,20
110521,Dr_520,Neurology,Medicine,24
110522,Dr_521,Orthopedics,Surgery,9
110523,Dr_522,Orthopedics,Medicine,35
110524,Dr_523,Orthopedics,Outpatient,6
110525,Dr_524,Pediatrics,Diagnostics,3
110526,Dr_525,Pediatrics,Diagnostics,24
110527,Dr_526,Orthopedics,Medicine,8
110528,Dr_527,Pediatrics,Emergency,7
110529,Dr_528,ENT,Emergency,6
110530,Dr_529,Dermatology,Medicine,25
110531,Dr_530,Cardiology,Medicine,20
110532,Dr_531,ENT,Medicine,29
110533,Dr_532,Oncology,Emergency,26
110534,Dr_533,Neurology,Diagnostics,11
110535,Dr_534,Dermatology,Medicine,24
110536,Dr_535,Cardiology,Surgery,9
110537,Dr_536,Cardiology,Medicine,19
110538,Dr_537,Dermatology,Surgery,13
110539,Dr_538,Pediatrics,Emergency,35
110540,Dr_539,Cardiology,Surgery,30
110541,Dr_540,Oncology,Surgery,21
110542,Dr_541,Orthopedics,Diagnostics,17
110543,Dr_542,Oncology,Diagnostics,7
110544,Dr_543,ENT,Medicine,15
110545,Dr_544,Pediatrics,Medicine,26
110546,Dr_545,Pediatrics,Medicine,1
110547,Dr_546,Neurology,Medicine,5
110548,Dr_547,General Medicine,Diagnostics,2
110549,Dr_548,ENT,Surgery,32
110550,Dr_549,General Medicine,Emergency,35
110551,Dr_550,Dermatology,Medicine,33
110552,Dr_551,Oncology,Diagnostics,1
110553,Dr_552,Dermatology,Emergency,8
110554,Dr_553,Cardiology,Outpatient,23
110555,Dr_554,Pediatrics,Surgery,6
110556,Dr_555,General Medicine,Surgery,9
110557,Dr_556,Neurology,Emergency,9
110558,Dr_557,Oncology,Outpatient,12
110559,Dr_558,Cardiology,Emergency,35
110560,Dr_559,General Medicine,Emergency,6
110561,Dr_560,ENT,Diagnostics,12
110562,Dr_561,Dermatology,Diagnostics,18
110563,Dr_562,Dermatology,Emergency,30
110564,Dr_563,Neurology,Outpatient,34
110565,Dr_564,ENT,Surgery,19
110566,Dr_565,Oncology,Emergency,4
110567,Dr_566,General Medicine,Medicine,27
110568,Dr_567,General Medicine,Medicine,35
110569,Dr_568,Cardiology,Diagnostics,33
110570,Dr_569,Cardiology,Diagnostics,30
110571,Dr_570,Orthopedics,Emergency,32
110572,Dr_571,Cardiology,Medicine,15
110573,Dr_572,Neurology,Surgery,13
110574,Dr_573,ENT,Diagnostics,20
110575,Dr_574,General Medicine,Medicine,34
110576,Dr_575,Oncology,Surgery,21
110577,Dr_576,Oncology,Emergency,2
110578,Dr_577,ENT,Diagnostics,23
110579,Dr_578,ENT,Medicine,33
110580,Dr_579,Orthopedics,Medicine,30
110581,Dr_580,Neurology,Outpatient,14
110582,Dr_581,Orthopedics,Diagnostics,5
110583,Dr_582,Dermatology,Diagnostics,15
110584,Dr_583,Orthopedics,Emergency,2
110585,Dr_584,ENT,Diagnostics,10
110586,Dr_585,Dermatology,Outpatient,4
110587,Dr_586,Oncology,Surgery,26
110588,Dr_587,Cardiology,Surgery,28
110589,Dr_588,Pediatrics,Emergency,29
110590,Dr_589,Neurology,Medicine,2
110591,Dr_590,Oncology,Diagnostics,17
110592,Dr_591,Neurology,Medicine,16
110593,Dr_592,Orthopedics,Outpatient,4
110594,Dr_593,ENT,Medicine,6
110595,Dr_594,Neurology,Surgery,32
110596,Dr_595,General Medicine,Outpatient,8
110597,Dr_596,General Medicine,Diagnostics,33
110598,Dr_597,Cardiology,Surgery,26
110599,Dr_598,ENT,Medicine,27
110600,Dr_599,Oncology,Surgery,11
110601,Dr_600,Cardiology,Surgery,21
110602,Dr_601,Dermatology,Diagnostics,13
110603,Dr_602,General Medicine,Outpatient,30
110604,Dr_603,Dermatology,Medicine,18
110605,Dr_604,Dermatology,Diagnostics,19
110606,Dr_605,Oncology,Surgery,1
110607,Dr_606,Orthopedics,Outpatient,11
110608,Dr_607,ENT,Emergency,31
110609,Dr_608,Pediatrics,Emergency,8
110610,Dr_609,Dermatology,Diagnostics,16
110611,Dr_610,Orthopedics,Surgery,33
110612,Dr_611,Cardiology,Medicine,8
110613,Dr_612,Oncology,Diagnostics,22
110614,Dr_613,Dermatology,Diagnostics,11
110615,Dr_614,Neurology,Emergency,34
110616,Dr_615,Neurology,Surgery,20
110617,Dr_616,Oncology,Emergency,31
110618,Dr_617,Pediatrics,Diagnostics,7
110619,Dr_618,ENT,Diagnostics,27
110620,Dr_619,Dermatology,Surgery,30
110621,Dr_620,General Medicine,Diagnostics,34
110622,Dr_621,ENT,Diagnostics,21
110623,Dr_622,Dermatology,Medicine,35
110624,Dr_623,Oncology,Diagnostics,24
